alert,cdi,code,detail,dmin,felt,gap,ids,mag,magType,mmi,net,nst,place,rms,sig,sources,status,time,title,tsunami,type,types,tz,updated,url
,,38386994,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci38386994&format=geojson,0.006389,,100.0,",ci38386994,",1.75,ml,,ci,20.0,"11km NE of Coso Junction, CA",0.13,47,",ci,",automatic,1583625168950,"M 1.8 - 11km NE of Coso Junction, CA",0,earthquake,",focal-mechanism,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1583625829990,https://earthquake.usgs.gov/earthquakes/eventpage/ci38386994
,2.2,2020067037,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2020067037&format=geojson,0.1348,3.0,255.0,",pr2020067037,",2.96,md,,pr,8.0,"14km SSE of Guanica, Puerto Rico",0.05,135,",pr,",reviewed,1583624685130,"M 3.0 - 14km SSE of Guanica, Puerto Rico",0,earthquake,",dyfi,geoserve,origin,phase-data,",-240,1583627751478,https://earthquake.usgs.gov/earthquakes/eventpage/pr2020067037
,,020336wdty,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak020336wdty&format=geojson,,,,",ak020336wdty,",1.5,ml,,ak,,"23km ENE of Cape Yakataga, Alaska",0.49,35,",ak,",automatic,1583624021565,"M 1.5 - 23km ENE of Cape Yakataga, Alaska",0,earthquake,",geoserve,origin,",-540,1583624232043,https://earthquake.usgs.gov/earthquakes/eventpage/ak020336wdty
,,020336wamw,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak020336wamw&format=geojson,,,,",ak020336wamw,",1.2,ml,,ak,,"23km ENE of Cape Yakataga, Alaska",0.35,22,",ak,",reviewed,1583623977854,"M 1.2 - 23km ENE of Cape Yakataga, Alaska",0,earthquake,",geoserve,origin,phase-data,",-540,1583626078329,https://earthquake.usgs.gov/earthquakes/eventpage/ak020336wamw
,,38386978,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci38386978&format=geojson,0.2085,,187.0,",ci38386978,",1.68,ml,,ci,5.0,"18km SSE of Gorman, CA",0.16,43,",ci,",automatic,1583623636370,"M 1.7 - 18km SSE of Gorman, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1583623879658,https://earthquake.usgs.gov/earthquakes/eventpage/ci38386978
,,020336utm4,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak020336utm4&format=geojson,,,,",ak020336utm4,",1.5,ml,,ak,,"41km NNE of Sterling, Alaska",0.28,35,",ak,",automatic,1583623572923,"M 1.5 - 41km NNE of Sterling, Alaska",0,earthquake,",geoserve,origin,",-540,1583623759130,https://earthquake.usgs.gov/earthquakes/eventpage/ak020336utm4
,4.6,2020067036,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2020067036&format=geojson,0.1108,9.0,248.0,",us60008bty,pr2020067036,",3.4,ml,2.69,pr,8.0,"18km S of Guanica, Puerto Rico",0.11,182,",us,pr,",reviewed,1583623465370,"M 3.4 - 18km S of Guanica, Puerto Rico",0,earthquake,",dyfi,geoserve,origin,phase-data,shakemap,",-240,1583709953676,https://earthquake.usgs.gov/earthquakes/eventpage/pr2020067036
,,2020067038,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2020067038&format=geojson,0.059,,228.0,",pr2020067038,",2.1,md,,pr,6.0,"7km SE of Guanica, Puerto Rico",0.15,68,",pr,",reviewed,1583623163630,"M 2.1 - 7km SE of Guanica, Puerto Rico",0,earthquake,",geoserve,origin,phase-data,",-240,1583627254193,https://earthquake.usgs.gov/earthquakes/eventpage/pr2020067038
,,60008btq,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us60008btq&format=geojson,3.827,,67.0,",us60008btq,",4.5,mb,,us,,"115km NE of Barishal, Pakistan",1.16,312,",us,",reviewed,1583621897451,"M 4.5 - 115km NE of Barishal, Pakistan",0,earthquake,",geoserve,origin,phase-data,",480,1583622980040,https://earthquake.usgs.gov/earthquakes/eventpage/us60008btq
,,020336fmlx,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak020336fmlx&format=geojson,,,,",ak020336fmlx,",0.5,ml,,ak,,"42km ENE of Adak, Alaska",0.13,4,",ak,",reviewed,1583621752547,"M 0.5 - 42km ENE of Adak, Alaska",0,earthquake,",geoserve,origin,phase-data,",-600,1583622514493,https://earthquake.usgs.gov/earthquakes/eventpage/ak020336fmlx
,,38386962,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci38386962&format=geojson,0.1212,,119.0,",ci38386962,",1.17,ml,,ci,21.0,"14km E of Julian, CA",0.39,21,",ci,",automatic,1583620271240,"M 1.2 - 14km E of Julian, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1583620496436,https://earthquake.usgs.gov/earthquakes/eventpage/ci38386962
,,38386954,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci38386954&format=geojson,0.05115,,39.0,",ci38386954,",1.61,ml,,ci,58.0,"23km ESE of Anza, CA",0.23,40,",ci,",automatic,1583620198420,"M 1.6 - 23km ESE of Anza, CA",0,earthquake,",focal-mechanism,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1583620832360,https://earthquake.usgs.gov/earthquakes/eventpage/ci38386954
,,0203369t0v,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0203369t0v&format=geojson,,,,",ak0203369t0v,",1.6,ml,,ak,,"66km W of Talkeetna, Alaska",0.57,39,",ak,",automatic,1583620085636,"M 1.6 - 66km W of Talkeetna, Alaska",0,earthquake,",geoserve,origin,",-540,1583620728108,https://earthquake.usgs.gov/earthquakes/eventpage/ak0203369t0v
,,0203369kzv,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0203369kzv&format=geojson,,,,",ak0203369kzv,",2.1,ml,,ak,,"21km NNE of North Nenana, Alaska",0.62,68,",ak,",automatic,1583620023619,"M 2.1 - 21km NNE of North Nenana, Alaska",0,earthquake,",geoserve,origin,",-540,1583620727616,https://earthquake.usgs.gov/earthquakes/eventpage/ak0203369kzv
,,02033690ri,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02033690ri&format=geojson,,,,",ak02033690ri,",2.1,ml,,ak,,"47km N of Valdez, Alaska",0.84,68,",ak,",automatic,1583619902950,"M 2.1 - 47km N of Valdez, Alaska",0,earthquake,",geoserve,origin,",-540,1583648856963,https://earthquake.usgs.gov/earthquakes/eventpage/ak02033690ri
,,60008bta,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us60008bta&format=geojson,15.898,,82.0,",us60008bta,",4.9,mb,,us,,"81km ENE of Bristol Island, South Sandwich Islands",0.65,369,",us,",reviewed,1583619800765,"M 4.9 - 81km ENE of Bristol Island, South Sandwich Islands",0,earthquake,",geoserve,origin,phase-data,",-120,1583620753040,https://earthquake.usgs.gov/earthquakes/eventpage/us60008bta
,,38386946,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci38386946&format=geojson,0.05791,,117.0,",ci38386946,",1.13,ml,,ci,31.0,"9km NE of Indio, CA",0.27,20,",ci,",automatic,1583619733920,"M 1.1 - 9km NE of Indio, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1583619959220,https://earthquake.usgs.gov/earthquakes/eventpage/ci38386946
,,2020067035,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2020067035&format=geojson,0.1523,,260.0,",pr2020067035,",2.7,md,,pr,8.0,"17km SSE of Guanica, Puerto Rico",0.21,112,",pr,",reviewed,1583619679400,"M 2.7 - 17km SSE of Guanica, Puerto Rico",0,earthquake,",geoserve,origin,phase-data,",-240,1583627805952,https://earthquake.usgs.gov/earthquakes/eventpage/pr2020067035
,,71416592,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv71416592&format=geojson,0.04669,,119.0,",hv71416592,us60008bt1,",2.33,ml,,hv,50.0,"14km SE of Volcano, Hawaii",0.17,84,",hv,us,",automatic,1583619678880,"M 2.3 - 14km SE of Volcano, Hawaii",0,earthquake,",geoserve,origin,phase-data,",-600,1583626324040,https://earthquake.usgs.gov/earthquakes/eventpage/hv71416592
,,0203367plt,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0203367plt&format=geojson,,,,",ak0203367plt,",0.9,ml,,ak,,"6km SW of Salcha, Alaska",0.56,12,",ak,",automatic,1583619510075,"M 0.9 - 6km SW of Salcha, Alaska",0,earthquake,",geoserve,origin,",-540,1583620303690,https://earthquake.usgs.gov/earthquakes/eventpage/ak0203367plt
,,73351040,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73351040&format=geojson,0.005667,,62.0,",nc73351040,",1.4,md,,nc,22.0,"2km NNW of The Geysers, CA",0.05,30,",nc,",automatic,1583618806060,"M 1.4 - 2km NNW of The Geysers, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1583627464560,https://earthquake.usgs.gov/earthquakes/eventpage/nc73351040
